profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
sync_heavy,1,400000,400000,0,baseline,1,0,0.01,1792,0.0,0.0,10798958,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,monitor,1,0,0.22,1792,0.32,0.11,215966643,PASS,1200002,1189046,10956,9129,DEGRADED,23,1,0
sync_heavy,1,400000,400000,0,monitor,2,0,0.18,1792,0.28,0.07,176734413,PASS,1200002,1198283,1719,1432,DEGRADED,10,1,0
sync_heavy,1,400000,400000,0,baseline,2,0,0.01,1792,0.01,0.0,11402210,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,baseline,3,0,0.01,1792,0.0,0.0,10564567,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,monitor,3,0,0.2,1792,0.27,0.13,203520476,PASS,1200002,1186837,13165,10970,DEGRADED,21,1,0
sync_heavy,1,400000,400000,0,monitor,4,0,0.2,1792,0.32,0.08,200568221,PASS,1200002,1196253,3749,3124,DEGRADED,6,1,0
sync_heavy,1,400000,400000,0,baseline,4,0,0.01,1792,0.01,0.0,10672430,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,baseline,5,0,0.01,1792,0.01,0.0,10874035,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,monitor,5,0,0.19,1792,0.27,0.11,191521471,PASS,1200002,1184618,15384,12819,DEGRADED,18,1,0
sync_heavy,1,400000,400000,0,monitor,6,0,0.17,1792,0.22,0.11,169220364,PASS,1200002,1191829,8173,6810,DEGRADED,8,1,0
sync_heavy,1,400000,400000,0,baseline,6,0,0.01,1792,0.0,0.0,10402098,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,baseline,7,0,0.01,1792,0.0,0.0,10563555,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,monitor,7,0,0.2,1792,0.3,0.08,196726211,PASS,1200002,1197628,2374,1978,DEGRADED,10,1,0
sync_heavy,1,400000,400000,0,monitor,8,0,0.19,1792,0.28,0.09,187735510,PASS,1200002,1194379,5623,4685,DEGRADED,5,1,0
sync_heavy,1,400000,400000,0,baseline,8,0,0.01,1792,0.01,0.0,10433581,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,baseline,9,0,0.01,1792,0.01,0.0,10687101,PASS,,,,,,,,
sync_heavy,1,400000,400000,0,monitor,9,0,0.26,1792,0.41,0.11,263986159,PASS,1200002,1194476,5526,4604,DEGRADED,20,1,0
sync_heavy,1,400000,400000,0,monitor,10,0,0.22,1792,0.3,0.14,221620865,PASS,1200002,1197041,2961,2467,DEGRADED,13,1,0
sync_heavy,1,400000,400000,0,baseline,10,0,0.01,1792,0.01,0.0,10718688,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,baseline,1,0,0.03,1664,0.04,0.01,31916539,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,monitor,1,0,0.23,1792,0.33,0.28,231853464,PASS,1200004,1183963,16041,13367,DEGRADED,27,2,0
sync_heavy,2,200000,400000,0,monitor,2,0,0.23,1792,0.36,0.25,227879132,PASS,1200004,1196834,3170,2641,DEGRADED,10,2,0
sync_heavy,2,200000,400000,0,baseline,2,0,0.03,1792,0.03,0.01,29563838,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,baseline,3,0,0.03,1792,0.05,0.0,29731835,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,monitor,3,0,0.21,1792,0.33,0.24,211706071,PASS,1200004,1192716,7288,6073,DEGRADED,4,2,0
sync_heavy,2,200000,400000,0,monitor,4,0,0.2,1792,0.33,0.21,194960231,PASS,1200004,1198098,1906,1588,DEGRADED,3,1,0
sync_heavy,2,200000,400000,0,baseline,4,0,0.03,1792,0.03,0.02,31710109,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,baseline,5,0,0.03,1664,0.04,0.01,32914527,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,monitor,5,0,0.23,1792,0.39,0.23,231957388,PASS,1200004,1195012,4992,4159,DEGRADED,12,2,0
sync_heavy,2,200000,400000,0,monitor,6,0,0.21,1792,0.38,0.19,207378477,PASS,1200004,1200004,0,0,COMPLETE,0,0,0
sync_heavy,2,200000,400000,0,baseline,6,0,0.03,1792,0.03,0.02,30609045,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,baseline,7,0,0.03,1792,0.04,0.01,32285787,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,monitor,7,0,0.24,1792,0.4,0.24,242183490,PASS,1200004,1198287,1717,1430,DEGRADED,9,2,0
sync_heavy,2,200000,400000,0,monitor,8,0,0.23,1792,0.4,0.21,226635523,PASS,1200004,1188818,11186,9321,DEGRADED,15,2,0
sync_heavy,2,200000,400000,0,baseline,8,0,0.03,1792,0.04,0.01,32789541,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,baseline,9,0,0.03,1792,0.03,0.02,32134230,PASS,,,,,,,,
sync_heavy,2,200000,400000,0,monitor,9,0,0.2,1792,0.37,0.18,198266697,PASS,1200004,1173130,26874,22394,DEGRADED,16,2,0
sync_heavy,2,200000,400000,0,monitor,10,0,0.23,1792,0.39,0.23,234533005,PASS,1200004,1191788,8216,6846,DEGRADED,10,2,0
