profile,threads,total_ops,baseline_runs,monitor_runs,baseline_target_mean_s,baseline_target_sd_s,monitor_target_mean_s,monitor_target_sd_s,added_target_time_ms,runtime_overhead_pct,added_ns_per_critical_section,effective_added_ns_per_generated_event,baseline_os_wall_mean_s,monitor_os_wall_mean_s,os_wall_overhead_pct,baseline_mean_user_s,monitor_mean_user_s,baseline_mean_sys_s,monitor_mean_sys_s,baseline_mean_rss_kb,monitor_mean_rss_kb,rss_delta_kb,mean_generated_events,mean_monitor_loss_ppm,complete_monitor_runs,complete_monitor_rate,zero_false_violation_runs
mixed,1,400000,10,10,0.1307749108,0.003698480370359752,0.3190709891,0.012798329955321491,188.29607829999998,143.984864641177,470.74019574999994,156.91313706143822,0.13,0.317,143.84615384615384,0.123,0.427,0.0,0.2,1792.0,1792.0,0.0,1200002.0,8615.4,1,0.1,10
mixed,2,400000,10,10,0.2267650614,0.021977798603037918,0.4313619168,0.008170387045745922,204.59685540000004,90.22415275830495,511.49213850000007,170.4968111772961,0.224,0.426,90.17857142857142,0.189,0.541,0.11800000000000001,0.517,1753.6,1792.0,38.40000000000009,1200004.0,4816.0,2,0.2,10
mixed,4,400000,10,10,0.2465127906,0.007760104758221875,0.5379479357,0.015584708975170754,291.4351451,118.2231333273463,728.5878627500001,242.86100184332108,0.245,0.538,119.59183673469389,0.212,0.753,0.358,1.034,1779.2,1817.6,38.399999999999864,1200008.0,645.3,4,0.4,10
mixed,8,400000,10,10,0.2804206369,0.006093717194151517,0.5467278931,0.011375486428856343,266.3072562,94.9670677393715,665.7681405000001,221.91975456993907,0.281,0.552,96.44128113879003,0.297,1.037,0.928,1.829,1843.2,1907.2,64.0,1200016.0,805.1,8,0.8,10
mixed,16,400000,10,10,0.3215417756,0.0034308750021946953,0.5537874128,0.005970823350338316,232.24563719999998,72.22875993846442,580.6140929999999,193.53287012346334,0.317,0.55,73.50157728706625,0.315,1.262,3.056,3.784,1804.8,2060.8,256.0000000000002,1200032.0,0.0,10,1.0,10
sync_heavy,1,400000,10,10,0.0107117223,0.0002847543539887784,0.2027600333,0.026822165829234947,192.048311,1792.8798527571985,480.1207775,160.03999243334596,0.01,0.203,1930.0,0.006,0.297,0.0,0.10300000000000001,1792.0,1792.0,0.0,1200002.0,5801.8,0,0.0,10
sync_heavy,2,400000,10,10,0.0316175588,0.0012235000981142218,0.2207353478,0.016380616302810156,189.11778900000002,598.1416534916035,472.7944725,157.5976321745594,0.03,0.221,636.6666666666667,0.037,0.368,0.013000000000000001,0.226,1766.4,1792.0,25.59999999999991,1200004.0,6781.9,1,0.1,10
sync_heavy,4,400000,10,10,0.0278273037,0.0010503450299465145,0.2367824048,0.006640057308432925,208.9551011,750.8995602042465,522.38775275,174.12809006273292,0.026,0.237,811.5384615384615,0.036,0.472,0.034,0.38,1753.6,1792.0,38.40000000000009,1200008.0,3629.0,3,0.3,10
sync_heavy,8,400000,10,10,0.0355380833,0.0016894579108116328,0.2697134942,0.004968170849080894,234.17541090000003,658.942152065922,585.43852725,195.1435738356822,0.034,0.272,700.0,0.045,0.6719999999999999,0.134,0.887,1817.6,1920.0,102.40000000000009,1200016.0,0.0,10,1.0,10
sync_heavy,16,400000,10,10,0.0384319277,0.0014306780191905937,0.2856608135,0.007626813103195063,247.2288858,643.2903593331854,618.0722145,206.01857767126208,0.04,0.294,635.0,0.051000000000000004,0.738,0.4,2.448,1804.8,2188.8,384.0000000000002,1200032.0,3808.3,9,0.9,10
