threads,iterations_per_thread,total_ops,work,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
1,250000,250000,0,1,0,0.13,1792,0.19,0.05,126958395,PASS,750002,750002,0,0,COMPLETE,0,0,0
1,250000,250000,0,2,0,0.11,1792,0.15,0.07,114224849,PASS,750002,744614,5388,7183,DEGRADED,4,1,0
1,250000,250000,0,3,0,0.12,1792,0.15,0.08,120275530,PASS,750002,737805,12197,16262,DEGRADED,14,1,0
1,250000,250000,0,4,0,0.11,1792,0.16,0.05,112393708,PASS,750002,735215,14787,19715,DEGRADED,14,1,0
1,250000,250000,0,5,0,0.1,1792,0.15,0.05,106365922,PASS,750002,728803,21199,28265,DEGRADED,16,1,0
2,250000,500000,0,1,0,0.29,1792,0.46,0.31,290314885,PASS,1500004,1487701,12303,8201,DEGRADED,7,2,0
2,250000,500000,0,2,0,0.26,1920,0.47,0.23,257767427,PASS,1500004,1489731,10273,6848,DEGRADED,26,2,0
2,250000,500000,0,3,0,0.25,1792,0.49,0.19,250351815,PASS,1500004,1494134,5870,3913,DEGRADED,8,2,0
2,250000,500000,0,4,0,0.25,1792,0.46,0.21,247793454,PASS,1500004,1481399,18605,12403,DEGRADED,14,2,0
2,250000,500000,0,5,0,0.25,1792,0.51,0.18,250162668,PASS,1500004,1497509,2495,1663,DEGRADED,5,2,0
4,250000,1000000,0,1,0,0.6,1792,1.21,1.0,602815304,PASS,3000008,2999064,944,314,DEGRADED,5,4,0
4,250000,1000000,0,2,0,0.58,1792,1.28,0.86,584298288,PASS,3000008,3000008,0,0,COMPLETE,0,0,0
4,250000,1000000,0,3,0,0.58,1792,1.06,1.06,579192869,PASS,3000008,3000008,0,0,COMPLETE,0,0,0
4,250000,1000000,0,4,0,0.58,1792,1.09,1.03,580901661,PASS,3000008,2996008,4000,1333,DEGRADED,4,2,0
4,250000,1000000,0,5,0,0.59,1792,1.08,1.1,594122371,PASS,3000008,2999862,146,48,DEGRADED,4,3,0
8,250000,2000000,0,1,0,1.32,1920,3.24,4.45,1314377858,PASS,6000016,6000016,0,0,COMPLETE,0,0,0
8,250000,2000000,0,2,0,1.3,1920,3.08,4.35,1297165219,PASS,6000016,5882412,117604,19600,DEGRADED,131,8,0
8,250000,2000000,0,3,0,1.33,1920,3.31,4.39,1325798381,PASS,6000016,5998767,1249,208,DEGRADED,5,2,0
8,250000,2000000,0,4,0,1.32,1792,3.19,4.41,1306938015,PASS,6000016,5999404,612,101,DEGRADED,2,1,0
8,250000,2000000,0,5,0,1.28,1920,3.08,4.27,1270362567,PASS,6000016,6000016,0,0,COMPLETE,0,0,0
16,250000,4000000,0,1,0,2.79,2048,6.77,26.4,2759867668,PASS,12000032,12000032,0,0,COMPLETE,0,0,0
16,250000,4000000,0,2,0,2.8,2304,6.95,26.08,2774655818,PASS,12000032,11999288,744,61,DEGRADED,1,1,0
16,250000,4000000,0,3,0,2.85,2176,7.14,25.84,2820875275,PASS,12000032,11994616,5416,451,DEGRADED,7,6,0
16,250000,4000000,0,4,0,2.82,2048,7.21,25.41,2790153618,PASS,12000032,12000032,0,0,COMPLETE,0,0,0
16,250000,4000000,0,5,0,2.73,2048,6.87,26.05,2769906770,PASS,12000032,12000032,0,0,COMPLETE,0,0,0
